symbol,name,Standard_Sector,Sector_Chinese
BJDX,"Bluejay Diagnostics, Inc. - Common Stock",Health Care,醫療保健
BJRI,"BJ's Restaurants, Inc. - Common Stock",Consumer Discretionary,非必需消費
BKNG,Booking Holdings Inc. - Common Stock,Consumer Discretionary,非必需消費
BKR,Baker Hughes Company - Common Stock,Energy,能源
BKYI,"BIO-key International, Inc. - Common Stock",Industrials,工業
BL,"BlackLine, Inc. - Common Stock",Information Technology,資訊科技
BLBD,Blue Bird Corporation - Common Stock,Industrials,工業
BLBX,Blackboxstocks Inc. - Common Stock,Information Technology,資訊科技
BLDE,"Blade Air Mobility, Inc. - Class A Common Stock",Industrials,工業
BLFS,"BioLife Solutions, Inc. - Common Stock",Health Care,醫療保健
BLFY,Blue Foundry Bancorp - Common Stock,Financials,金融
BLIN,"Bridgeline Digital, Inc. - Common Stock",Information Technology,資訊科技
BLKB,"Blackbaud, Inc. - Common Stock",Information Technology,資訊科技
BLMN,"Bloomin' Brands, Inc. - Common Stock",Consumer Discretionary,非必需消費
BLNE,"Beeline Holdings, Inc. - Common Stock",Consumer Staples,必需消費
BLNK,Blink Charging Co. - Common Stock,Industrials,工業
BLUE,"bluebird bio, Inc. - Common Stock",Health Care,醫療保健
BLZE,"Backblaze, Inc. - Class A Common Stock",Information Technology,資訊科技
BMBL,Bumble Inc. - common stock,Communication Services,通訊服務
BMEA,"Biomea Fusion, Inc. - Common Stock",Health Care,醫療保健
BMRA,"Biomerica, Inc. - Common Stock",Health Care,醫療保健
BMRC,Bank of Marin Bancorp - Common Stock,Financials,金融
BMRN,BioMarin Pharmaceutical Inc. - Common Stock,Health Care,醫療保健
BNAI,Brand Engagement Network Inc. - Common Stock,Information Technology,資訊科技
BNGO,"Bionano Genomics, Inc. - Common Stock",Health Care,醫療保健
BNTC,Benitec Biopharma Inc. - Common Stock,Health Care,醫療保健
BNZI,"Banzai International, Inc. - Class A Common Stock",Information Technology,資訊科技
BOF,BranchOut Food Inc. - Common Stock,Consumer Staples,必需消費
BOKF,BOK Financial Corporation - Common Stock,Financials,金融
BOLD,"Boundless Bio, Inc. - Common Stock",Health Care,醫療保健
BOLT,"Bolt Biotherapeutics, Inc. - Common Stock",Health Care,醫療保健
BOOM,DMC Global Inc. - Common Stock,Industrials,工業
BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",Financials,金融
BOXL,Boxlight Corporation - Class A Common Stock,Information Technology,資訊科技
BPMC,Blueprint Medicines Corporation - Common Stock,Health Care,醫療保健
BPOP,"Popular, Inc. - Common Stock",Financials,金融
BPRN,"Princeton Bancorp, Inc. - Common Stock",Financials,金融
BRFH,Barfresh Food Group Inc. - Common Stock,Consumer Staples,必需消費
BRID,Bridgford Foods Corporation - Common Stock,Consumer Staples,必需消費
BRKL,"Brookline Bancorp, Inc. - Common Stock",Financials,金融
BRKR,Bruker Corporation - Common Stock,Health Care,醫療保健
BRLT,"Brilliant Earth Group, Inc. - Class A Common Stock",Consumer Discretionary,非必需消費
BRTX,"BioRestorative Therapies, Inc. - Common Stock",Health Care,醫療保健
BRY,Berry Corporation (bry) - Common Stock,Energy,能源
BRZE,"Braze, Inc. - Class A Common Stock",Information Technology,資訊科技
BSBK,Bogota Financial Corp. - Common Stock,Financials,金融
BSET,"Bassett Furniture Industries, Incorporated - Common Stock",Consumer Discretionary,非必需消費
BSGM,"BioSig Technologies, Inc. - Common Stock",Health Care,醫療保健
BSLK,"Bolt Projects Holdings, Inc. - Common Stock",Materials,原物料
BSRR,Sierra Bancorp - Common Stock,Financials,金融
BSVN,Bank7 Corp. - Common stock,Financials,金融
BSY,"Bentley Systems, Incorporated - Class B Common Stock",Information Technology,資訊科技
BTAI,"BioXcel Therapeutics, Inc. - Common Stock",Health Care,醫療保健
BTBD,"BT Brands, Inc. - Common Stock",Consumer Discretionary,非必需消費
BTCS,BTCS Inc. - Common Stock,Financials,金融
BTM,Bitcoin Depot Inc. - Class A Common Stock,Financials,金融
BTMD,Biote Corp. - Class A common stock,Health Care,醫療保健
BTOC,Armlogi Holding Corp. - common stock,Industrials,工業
BTSG,"BrightSpring Health Services, Inc. - Common Stock",Health Care,醫療保健
BUSE,First Busey Corporation - Common Stock,Financials,金融
BVFL,"BV Financial, Inc. - Common Stock",Financials,金融
BVS,Bioventus Inc. - Class A Common Stock,Health Care,醫療保健
BWB,"Bridgewater Bancshares, Inc. - Common Stock",Financials,金融
BWEN,"Broadwind, Inc. - Common Stock",Industrials,工業
BWFG,"Bankwell Financial Group, Inc. - Common Stock",Financials,金融
BWIN,"The Baldwin Insurance Group, Inc. - Class A Common Stock",Financials,金融
BWMN,Bowman Consulting Group Ltd. - Common Stock,Industrials,工業
BYFC,Broadway Financial Corporation - Class A Common Stock,Financials,金融
BYND,"Beyond Meat, Inc. - Common stock",Consumer Staples,必需消費
BYRN,"Byrna Technologies, Inc. - Common Stock",Industrials,工業
BZAI,"Blaize Holdings, Inc. - Common Stock",Information Technology,資訊科技
BZFD,"BuzzFeed, Inc. - Class A Common Stock",Communication Services,通訊服務
CAAS,"China Automotive Systems, Inc. - Common Stock",Consumer Discretionary,非必需消費
CABA,"Cabaletta Bio, Inc. - Common Stock",Health Care,醫療保健
CAC,Camden National Corporation - Common Stock,Financials,金融
CACC,Credit Acceptance Corporation - Common Stock,Financials,金融
CADL,"Candel Therapeutics, Inc. - Common Stock",Health Care,醫療保健
CAKE,The Cheesecake Factory Incorporated - Common Stock,Consumer Discretionary,非必需消費
CALC,"CalciMedica, Inc. - Common Stock",Health Care,醫療保健
CALM,"Cal-Maine Foods, Inc. - Common Stock",Consumer Staples,必需消費
CAMP,CAMP4 Therapeutics Corporation - Common Stock,Health Care,醫療保健
CAPR,"Capricor Therapeutics, Inc. - Common Stock",Health Care,醫療保健
CAPS,Capstone Holding Corp. - Common Stock,Materials,原物料
CAR,"Avis Budget Group, Inc. - Common Stock",Industrials,工業
CARE,"Carter Bankshares, Inc. - Common Stock",Financials,金融
CARG,"CarGurus, Inc. - Class A Common Stock",Consumer Discretionary,非必需消費
CARM,"Carisma Therapeutics, Inc. - Common Stock",Health Care,醫療保健
